Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,14.875,14.913,14.44,14.562,5717200,0.0,0.0
2017-01-04,14.575,15.288,14.42,15.18,7246400,0.0,0.0
2017-01-05,15.222,16.138,15.132,15.665,6565600,0.0,0.0
2017-01-06,15.792,15.977,15.623,15.807,3558800,0.0,0.0
2017-01-09,15.875,15.972,15.618,15.623,4105600,0.0,0.0
2017-01-10,15.715,17.372,15.608,16.76,8528400,0.0,0.0
2017-01-11,16.823,17.355,16.575,17.257,7846800,0.0,0.0
2017-01-12,17.25,17.43,16.82,16.903,5302400,0.0,0.0
2017-01-13,19.84,22.2,19.655,21.282,37285600,0.0,0.0
2017-01-17,21.368,21.685,21.153,21.372,11669600,0.0,0.0
2017-01-18,21.5,21.548,21.022,21.04,9443200,0.0,0.0
2017-01-19,21.04,21.16,20.31,20.397,7149200,0.0,0.0
2017-01-20,20.4,20.565,19.907,20.052,4900400,0.0,0.0
2017-01-23,19.913,20.115,19.753,19.995,3907600,0.0,0.0
2017-01-24,19.575,20.013,19.075,19.938,9353200,0.0,0.0
2017-01-25,20.032,20.573,19.965,20.225,5634400,0.0,0.0
2017-01-26,20.192,20.382,19.788,19.88,2805200,0.0,0.0
2017-01-27,19.862,20.003,19.73,19.87,2134400,0.0,0.0
2017-01-30,19.79,19.907,19.407,19.638,2109600,0.0,0.0
2017-01-31,19.712,19.99,19.517,19.788,3358800,0.0,0.0
2017-02-01,19.952,20.048,19.667,19.86,3761600,0.0,0.0
2017-02-02,19.96,20.085,19.58,19.89,2245200,0.0,0.0
2017-02-03,19.882,20.378,19.795,20.345,3121600,0.0,0.0
2017-02-06,20.25,20.483,19.805,19.917,2933200,0.0,0.0
2017-02-07,19.878,20.19,19.875,19.95,4390400,0.0,0.0
2017-02-08,19.837,20.02,19.722,19.81,2020400,0.0,0.0
2017-02-09,19.837,20.142,19.765,19.845,3112400,0.0,0.0
2017-02-10,19.825,20.075,19.705,20.0,2569200,0.0,0.0
2017-02-13,19.955,20.22,19.955,20.055,2511200,0.0,0.0
2017-02-14,20.125,20.34,19.888,20.265,4254000,0.0,0.0
2017-02-15,20.25,21.0,20.243,20.815,5384400,0.0,0.0
2017-02-16,21.153,21.208,20.03,20.347,3616400,0.0,0.0
2017-02-17,20.265,20.665,20.145,20.472,2530400,0.0,0.0
2017-02-21,20.267,20.558,19.92,19.975,3526000,0.0,0.0
2017-02-22,19.97,19.972,19.505,19.647,3414400,0.0,0.0
2017-02-23,19.622,19.795,19.275,19.49,3528800,0.0,0.0
2017-02-24,19.272,19.728,19.215,19.625,2536000,0.0,0.0
2017-02-27,19.552,19.835,18.882,19.802,3693200,0.0,0.0
