Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,103.284,103.503,101.664,102.347,2364200,0.0,0.0
2017-01-04,102.759,102.794,101.953,102.303,1564800,0.0,0.0
2017-01-05,101.769,101.901,100.684,101.27,1756500,0.0,0.0
2017-01-06,101.314,101.909,100.806,101.734,1907500,0.0,0.0
2017-01-09,101.971,102.636,101.533,102.041,1143700,0.0,0.0
2017-01-10,102.251,102.408,101.288,101.428,928300,0.0,0.0
2017-01-11,101.366,102.435,100.771,102.365,995100,0.0,0.0
2017-01-12,102.435,102.916,102.023,102.653,1102600,0.0,0.0
2017-01-13,102.636,102.995,102.198,102.505,1088300,0.0,0.0
2017-01-17,102.102,102.627,101.874,102.365,1424300,0.0,0.0
2017-01-18,102.181,102.54,101.971,102.084,1386400,0.0,0.0
2017-01-19,102.006,102.347,101.401,101.647,1965400,0.0,0.0
2017-01-20,101.717,102.776,101.454,102.776,1295500,0.0,0.0
2017-01-23,102.618,102.951,101.988,102.154,1750400,0.0,0.0
2017-01-24,102.61,103.511,102.435,103.039,3539800,0.0,0.0
2017-01-25,103.214,105.227,102.68,104.685,3917600,0.0,0.0
2017-01-26,102.032,104.851,101.305,104.623,1980500,0.0,0.0
2017-01-27,105.455,105.937,104.623,105.236,1739300,0.0,0.0
2017-01-30,104.501,104.65,103.188,104.448,1649800,0.0,0.0
2017-01-31,103.975,104.081,103.363,103.695,1356800,0.0,0.0
2017-02-01,102.715,103.713,102.557,103.266,1324400,0.0,0.0
2017-02-02,102.33,102.732,102.032,102.102,1705100,0.0,0.0
2017-02-03,102.356,103.1,102.268,102.846,1120900,0.0,0.0
2017-02-06,102.487,102.531,101.62,101.944,1448000,0.0,0.0
2017-02-07,101.437,102.207,101.156,101.822,1582800,0.0,0.0
2017-02-08,101.524,102.111,101.148,101.822,891600,0.0,0.0
2017-02-09,101.822,102.207,101.209,101.349,1030400,0.0,0.0
2017-02-10,101.734,102.067,101.349,101.76,1247500,0.0,0.0
2017-02-13,102.408,103.266,102.084,102.82,1059300,0.0,0.0
2017-02-14,102.251,102.951,101.454,102.715,767600,0.0,0.0
2017-02-15,102.365,103.082,102.181,102.951,884700,0.0,0.0
2017-02-16,103.047,103.511,102.54,102.872,1810700,0.0,0.0
2017-02-17,103.012,103.231,102.671,102.802,906000,0.0,0.0
2017-02-21,102.697,104.142,102.47,103.582,1600600,0.0,0.0
2017-02-22,103.153,103.783,102.916,103.126,861700,0.0,0.0
2017-02-23,103.319,103.722,103.012,103.363,853800,0.0,0.0
2017-02-24,102.531,103.52,102.286,103.406,833400,0.0,0.0
2017-02-27,103.31,104.807,103.135,103.765,1737000,0.0,0.0
2017-02-28,103.371,104.291,102.741,103.932,1616100,0.0,0.0
2017-03-01,104.869,105.604,104.466,105.376,1283100,0.0,0.0
2017-03-02,105.35,105.604,103.905,103.993,1064600,0.0,0.0
2017-03-03,104.026,104.053,103.445,103.648,1076300,0.788,0.0
2017-03-06,103.269,104.282,103.242,103.762,1203300,0.0,0.0
2017-03-07,103.674,104.917,103.365,104.696,1676500,0.0,0.0
2017-03-08,104.176,105.419,104.141,104.502,2717000,0.0,0.0
2017-03-09,104.132,104.617,102.775,103.11,1728800,0.0,0.0
2017-03-10,103.586,103.718,103.013,103.075,1407300,0.0,0.0
2017-03-13,103.418,103.418,102.229,102.872,1580600,0.0,0.0
2017-03-14,102.608,103.286,102.431,102.81,1455800,0.0,0.0
2017-03-15,103.383,104.837,102.854,104.547,1606300,0.0,0.0
2017-03-16,104.608,105.049,103.154,103.224,1567400,0.0,0.0
2017-03-17,103.753,104.423,103.612,104.282,2297100,0.0,0.0
2017-03-20,104.37,104.626,103.982,104.212,643400,0.0,0.0
2017-03-21,104.247,104.564,102.766,103.075,1047100,0.0,0.0
2017-03-22,102.898,103.542,102.484,103.18,1103500,0.0,0.0
2017-03-23,103.075,104.132,102.652,103.683,781100,0.0,0.0
2017-03-24,103.595,104.106,102.37,102.599,850600,0.0,0.0
2017-03-27,102.061,104.194,101.947,103.903,1309200,0.0,0.0
2017-03-28,104.494,105.234,103.771,104.688,2120500,0.0,0.0
2017-03-29,104.608,105.419,104.256,104.335,1306000,0.0,0.0
2017-03-30,104.106,105.41,104.035,104.529,1732200,0.0,0.0
2017-03-31,104.203,105.296,104.079,104.529,1469700,0.0,0.0
2017-04-03,104.661,105.102,103.216,104.0,1825500,0.0,0.0
2017-04-04,104.405,105.393,104.062,105.119,1006400,0.0,0.0
2017-04-05,105.763,105.763,103.912,104.115,1440000,0.0,0.0
2017-04-06,104.335,105.542,104.176,105.208,1238600,0.0,0.0
2017-04-07,105.014,105.322,104.405,104.749,1076500,0.0,0.0
2017-04-10,104.591,105.701,104.0,105.384,686500,0.0,0.0
2017-04-11,105.084,105.357,104.564,105.04,1019400,0.0,0.0
2017-04-12,104.608,105.128,104.044,104.203,904000,0.0,0.0
2017-04-13,104.009,104.723,103.471,103.533,818600,0.0,0.0
2017-04-17,103.789,104.74,103.498,104.044,660900,0.0,0.0
2017-04-18,104.044,104.626,103.656,104.282,1498300,0.0,0.0
2017-04-19,105.058,105.234,103.868,104.141,1120300,0.0,0.0
2017-04-20,104.643,105.807,104.273,105.525,1034700,0.0,0.0
2017-04-21,105.507,105.824,104.943,105.393,853900,0.0,0.0
2017-04-24,107.032,108.513,106.732,108.416,1896700,0.0,0.0
2017-04-25,108.883,109.949,108.539,109.905,1672900,0.0,0.0
2017-04-26,109.747,110.972,109.385,110.267,1536000,0.0,0.0
2017-04-27,108.583,111.024,105.78,110.593,1653700,0.0,0.0
2017-04-28,110.275,110.76,109.385,110.152,1521100,0.0,0.0
2017-05-01,110.513,110.61,109.738,110.134,939300,0.0,0.0
2017-05-02,110.557,110.716,109.738,110.672,1291900,0.0,0.0
2017-05-03,110.504,110.928,110.205,110.637,1000200,0.0,0.0
2017-05-04,110.866,111.368,110.549,111.333,1459700,0.0,0.0
2017-05-05,111.597,114.162,111.342,114.118,2035500,0.0,0.0
2017-05-08,113.157,113.951,113.096,113.774,1005500,0.0,0.0
2017-05-09,113.792,114.074,113.272,113.36,861300,0.0,0.0
2017-05-10,113.316,113.88,112.99,113.845,830400,0.0,0.0
2017-05-11,113.686,113.995,112.814,113.774,898500,0.0,0.0
2017-05-12,113.422,114.541,113.369,114.33,1110800,0.0,0.0
2017-05-15,114.541,114.964,114.083,114.726,2034700,0.0,0.0
2017-05-16,114.858,116.11,114.858,115.484,1764800,0.0,0.0
2017-05-17,115.484,115.484,113.528,113.536,1341600,0.0,0.0
2017-05-18,109.694,113.342,108.319,113.14,2094600,0.0,0.0
2017-05-19,113.492,114.215,113.166,113.898,1080900,0.0,0.0
2017-05-22,114.532,114.753,113.88,114.418,689000,0.0,0.0
2017-05-23,114.709,114.999,113.986,114.55,801100,0.0,0.0
2017-05-24,114.594,117.82,114.056,116.577,2260700,0.0,0.0
2017-05-25,117.335,117.397,116.013,116.277,1323900,0.0,0.0
2017-05-26,116.198,116.533,115.801,116.313,957200,0.0,0.0
2017-05-30,116.022,116.031,115.449,115.978,1721600,0.0,0.0
2017-05-31,116.057,116.674,115.687,116.595,1020100,0.0,0.0
2017-06-01,116.78,122.235,116.418,118.181,2287500,0.0,0.0
