Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,101.373,101.49,98.961,99.51,5123800,0.0,0.0
2017-01-04,98.994,99.61,98.312,99.393,3780800,0.0,0.0
2017-01-05,99.277,99.992,99.077,99.576,4261100,0.0,0.0
2017-01-06,98.936,101.074,98.595,100.458,4089200,0.0,0.0
2017-01-09,100.458,100.708,100.1,100.184,3021800,0.0,0.0
2017-01-10,100.209,100.533,99.601,100.034,3108400,0.0,0.0
2017-01-11,100.6,101.074,100.342,100.558,3565200,0.0,0.0
2017-01-12,100.076,101.748,99.992,101.573,3480700,0.0,0.0
2017-01-13,101.689,101.689,100.741,101.074,2877400,0.0,0.0
2017-01-17,100.45,102.155,100.408,102.114,4077600,0.0,0.0
2017-01-18,102.164,102.322,101.323,102.08,3395000,0.0,0.0
2017-01-19,101.689,102.322,101.523,101.639,3155200,0.0,0.0
2017-01-20,101.706,102.28,101.506,101.706,4887100,0.0,0.0
2017-01-23,101.232,101.556,99.676,100.974,7022600,0.0,0.0
2017-01-24,101.465,101.54,100.259,100.699,3495200,0.0,0.0
2017-01-25,101.065,101.423,100.616,101.315,3968300,0.0,0.0
2017-01-26,101.373,101.806,101.29,101.39,2497300,0.0,0.0
2017-01-27,101.714,102.313,101.057,102.205,3592700,0.0,0.0
2017-01-30,102.164,102.496,101.739,102.338,3778000,0.0,0.0
2017-01-31,102.338,102.604,101.573,101.964,3733300,0.0,0.0
2017-02-01,101.407,101.906,101.24,101.839,3233400,0.0,0.0
2017-02-02,101.939,103.137,101.706,102.505,3236600,0.0,0.0
2017-02-03,102.579,103.578,102.555,103.353,3183000,0.0,0.0
2017-02-06,103.228,103.902,103.112,103.528,2760300,0.0,0.0
2017-02-07,103.944,104.335,103.644,103.644,2847200,0.0,0.0
2017-02-08,103.636,104.285,103.561,103.711,2835200,0.0,0.0
2017-02-09,103.711,103.985,103.453,103.553,2493600,0.0,0.0
2017-02-10,103.719,104.909,103.586,104.668,3681400,0.0,0.0
2017-02-13,104.834,105.383,104.393,104.435,2993800,0.0,0.0
2017-02-14,104.401,104.875,104.21,104.659,2663100,0.0,0.0
2017-02-15,104.534,105.474,104.36,105.217,2974900,0.0,0.0
2017-02-16,105.441,106.331,105.075,105.4,3006000,0.0,0.0
2017-02-17,105.466,106.381,105.383,106.315,3677400,0.0,0.0
2017-02-21,105.782,106.747,105.782,106.514,4495200,0.0,0.0
2017-02-22,106.082,106.573,105.15,106.356,3670700,0.0,0.0
2017-02-23,106.423,107.23,106.015,106.706,3178000,0.0,0.0
2017-02-24,106.78,107.097,106.273,107.022,3537200,0.0,0.0
2017-02-27,106.997,107.055,106.242,106.418,5184000,0.94,0.0
2017-02-28,106.494,107.206,106.075,106.971,4619300,0.0,0.0
2017-03-01,107.282,108.941,106.946,108.145,5471600,0.0,0.0
2017-03-02,108.145,108.782,107.39,107.458,6738100,0.0,0.0
2017-03-03,107.457,107.818,106.795,107.181,4067700,0.0,0.0
2017-03-06,107.181,107.55,106.762,107.29,3271500,0.0,0.0
2017-03-07,107.315,107.525,106.712,107.323,3332400,0.0,0.0
2017-03-08,107.323,107.566,106.821,107.34,3571700,0.0,0.0
2017-03-09,107.223,107.868,107.005,107.382,3265700,0.0,0.0
2017-03-10,107.734,107.759,107.03,107.248,3178900,0.0,0.0
2017-03-13,107.273,107.491,106.72,106.938,3130800,0.0,0.0
2017-03-14,106.971,107.458,106.846,107.097,2492700,0.0,0.0
2017-03-15,107.441,107.516,106.821,107.164,3529300,0.0,0.0
2017-03-16,107.516,108.019,107.206,107.248,3945700,0.0,0.0
2017-03-17,107.742,108.924,107.617,107.801,12532700,0.0,0.0
2017-03-20,108.094,108.505,107.659,107.918,3415500,0.0,0.0
2017-03-21,108.287,108.731,107.416,107.701,4062400,0.0,0.0
2017-03-22,107.751,108.228,107.608,108.187,3174200,0.0,0.0
2017-03-23,108.22,108.597,107.944,108.103,2774500,0.0,0.0
2017-03-24,108.421,108.673,108.237,108.388,3568200,0.0,0.0
2017-03-27,108.17,108.79,108.12,108.513,2540400,0.0,0.0
2017-03-28,108.488,108.748,108.052,108.48,3487400,0.0,0.0
2017-03-29,108.103,108.664,107.793,107.969,3197800,0.0,0.0
2017-03-30,107.893,108.547,107.768,108.371,2018000,0.0,0.0
2017-03-31,108.43,109.1,108.354,108.614,3041700,0.0,0.0
2017-04-03,108.522,108.698,107.985,108.614,3287100,0.0,0.0
2017-04-04,108.22,108.547,107.809,108.346,3414000,0.0,0.0
2017-04-05,108.849,110.265,108.647,109.284,4052200,0.0,0.0
2017-04-06,109.201,109.494,108.907,109.066,3856900,0.0,0.0
2017-04-07,108.958,109.276,108.622,108.907,2176600,0.0,0.0
2017-04-10,108.899,109.485,108.539,108.924,2709300,0.0,0.0
2017-04-11,109.46,109.98,108.773,109.946,3677600,0.0,0.0
2017-04-12,110.039,110.248,109.67,109.997,3195500,0.0,0.0
2017-04-13,109.779,109.896,109.418,109.578,2429200,0.0,0.0
2017-04-17,109.988,110.508,109.703,110.072,3236400,0.0,0.0
2017-04-18,110.625,111.287,110.449,110.868,3617400,0.0,0.0
2017-04-19,111.153,111.455,110.902,111.153,3132800,0.0,0.0
2017-04-20,111.161,111.824,111.153,111.681,2697300,0.0,0.0
2017-04-21,111.916,112.192,111.58,111.798,3466100,0.0,0.0
2017-04-24,112.494,112.93,111.673,112.486,5041000,0.0,0.0
2017-04-25,115.762,118.989,114.958,118.745,10893800,0.0,0.0
2017-04-26,118.745,118.997,117.606,118.025,7132200,0.0,0.0
2017-04-27,118.896,119.659,118.033,118.05,5183700,0.0,0.0
2017-04-28,117.648,117.958,117.136,117.262,4779900,0.0,0.0
2017-05-01,117.204,118.536,117.187,118.285,3747200,0.0,0.0
2017-05-02,118.142,118.838,117.924,118.352,3774100,0.0,0.0
2017-05-03,119.164,119.583,118.494,119.516,4278400,0.0,0.0
2017-05-04,119.516,120.396,119.215,120.212,4178800,0.0,0.0
2017-05-05,120.187,120.656,119.483,120.639,2452700,0.0,0.0
2017-05-08,120.614,121.092,120.388,120.874,2813000,0.0,0.0
2017-05-09,120.748,121.494,120.673,120.975,3053800,0.0,0.0
2017-05-10,120.556,121.209,120.447,121.109,2273300,0.0,0.0
2017-05-11,120.74,121.016,120.17,120.849,1941900,0.0,0.0
2017-05-12,121.092,121.93,121.058,121.813,2747900,0.0,0.0
2017-05-15,121.871,122.684,121.871,122.584,3332800,0.0,0.0
2017-05-16,122.81,123.748,122.584,123.43,3540900,0.0,0.0
2017-05-17,123.43,123.572,122.55,122.692,3875600,0.0,0.0
2017-05-18,122.692,123.388,122.19,123.195,2730900,0.0,0.0
2017-05-19,123.396,124.72,123.053,124.151,4071200,0.0,0.0
2017-05-22,124.276,124.762,123.966,124.184,3294500,0.0,0.0
2017-05-23,124.209,124.469,123.732,123.874,3262300,0.0,0.0
2017-05-24,123.975,125.693,123.187,125.282,3348900,0.0,0.0
2017-05-25,125.542,125.659,125.089,125.517,3408100,0.0,0.0
2017-05-26,125.592,125.902,125.072,125.584,3258200,0.0,0.0
2017-05-30,125.659,125.977,125.299,125.642,3113900,0.0,0.0
2017-05-31,125.801,126.665,125.366,126.447,6415700,0.0,0.0
2017-06-01,127.155,128.504,126.784,128.504,4349800,0.94,0.0
2017-06-02,128.614,129.778,128.302,129.643,4316700,0.0,0.0
2017-06-05,129.55,129.575,128.816,128.842,2633700,0.0,0.0
2017-06-06,128.487,128.673,127.509,127.526,3661900,0.0,0.0
2017-06-07,127.526,128.184,127.104,128.125,2922900,0.0,0.0
2017-06-08,128.125,128.302,127.341,127.695,3709900,0.0,0.0
2017-06-09,128.074,128.175,127.248,127.737,4143100,0.0,0.0
2017-06-12,127.737,127.737,124.836,125.199,5902600,0.0,0.0
2017-06-13,125.528,126.7,125.325,126.337,4267700,0.0,0.0
2017-06-14,126.759,127.4,126.413,127.062,2675500,0.0,0.0
2017-06-15,126.405,127.771,126.194,127.476,2517500,0.0,0.0
2017-06-16,127.315,128.926,127.265,128.167,5443900,0.0,0.0
2017-06-19,128.504,129.17,128.04,129.137,3263800,0.0,0.0
2017-06-20,130.09,130.941,129.727,129.921,3614400,0.0,0.0
2017-06-21,130.014,130.216,129.533,129.634,2448500,0.0,0.0
2017-06-22,129.676,130.629,129.592,130.537,2003800,0.0,0.0
2017-06-23,130.705,131.085,130.225,130.402,2214700,0.0,0.0
2017-06-26,130.857,131.093,129.457,129.828,2360900,0.0,0.0
2017-06-27,129.862,130.553,129.407,129.626,2139000,0.0,0.0
2017-06-28,129.896,130.435,129.643,130.115,1302800,0.0,0.0
2017-06-29,130.351,130.351,128.302,129.128,1975900,0.0,0.0
2017-06-30,129.272,129.668,128.783,129.154,2508200,0.0,0.0
2017-07-03,129.39,129.752,128.58,128.597,1100700,0.0,0.0
2017-07-05,128.867,129.499,128.167,129.078,2497300,0.0,0.0
2017-07-06,128.766,129.407,128.454,129.095,2019800,0.0,0.0
2017-07-07,129.331,132.021,129.145,131.776,4117800,0.0,0.0
2017-07-10,131.785,131.995,130.84,131.144,2402200,0.0,0.0
2017-07-11,130.781,131.447,129.87,130.629,2008800,0.0,0.0
2017-07-12,131.051,132.181,130.933,132.038,2094900,0.0,0.0
2017-07-13,131.962,132.004,130.149,130.739,3169700,0.0,0.0
2017-07-14,130.697,131.127,130.478,130.941,2440200,0.0,0.0
2017-07-17,131.068,131.076,130.452,130.924,2408700,0.0,0.0
2017-07-18,130.705,130.933,129.331,129.828,3890300,0.0,0.0
2017-07-19,129.972,130.25,129.423,129.769,3072200,0.0,0.0
2017-07-20,129.887,130.891,129.482,130.039,2240200,0.0,0.0
2017-07-21,129.913,130.452,129.263,129.794,3522400,0.0,0.0
2017-07-24,129.862,130.047,127.981,128.049,5307400,0.0,0.0
