Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,21.632,22.289,21.613,22.103,24962900,0.0,0.0
2017-01-04,22.22,22.387,21.809,21.917,20426800,0.0,0.0
2017-01-05,21.956,22.122,21.524,21.671,19759400,0.0,0.0
2017-01-06,21.828,21.838,21.544,21.603,17782200,0.0,0.0
2017-01-09,21.505,22.103,21.505,21.897,21537200,0.0,0.0
2017-01-10,21.917,22.24,21.858,22.034,20644300,0.0,0.0
2017-01-11,22.162,22.426,22.113,22.338,20907700,0.0,0.0
2017-01-12,22.015,22.034,21.27,21.868,27592300,0.0,0.0
2017-01-13,21.828,21.868,21.554,21.74,14025700,0.0,0.0
2017-01-17,21.446,21.632,21.152,21.309,20053800,0.0,0.0
2017-01-18,21.25,21.897,21.103,21.877,19493400,0.0,0.0
2017-01-19,21.074,21.858,21.064,21.279,31259000,0.0,0.0
2017-01-20,21.466,21.887,21.456,21.524,19978700,0.0,0.0
2017-01-23,21.524,21.868,21.309,21.456,16070300,0.0,0.0
2017-01-24,21.828,22.632,21.819,22.397,29461400,0.0,0.0
2017-01-25,22.936,23.504,22.73,23.093,31611800,0.0,0.0
2017-01-26,23.328,23.514,22.828,23.054,19379100,0.0,0.0
2017-01-27,23.063,23.622,22.985,23.495,18626100,0.0,0.0
2017-01-30,23.348,23.759,22.965,23.7,30508100,0.0,0.0
2017-01-31,23.475,23.671,23.21,23.632,22712500,0.0,0.0
2017-02-01,23.945,24.357,23.828,24.259,28728200,0.0,0.0
2017-02-02,24.043,24.808,23.975,24.298,45499700,0.0,0.0
2017-02-03,24.406,24.739,24.014,24.112,25054400,0.0,0.0
2017-02-06,24.043,24.24,23.73,23.857,18900000,0.0,0.0
2017-02-07,24.102,24.2,23.73,24.112,19879300,0.0,0.0
2017-02-08,23.769,23.896,23.436,23.73,21559200,0.0,0.0
2017-02-09,24.259,24.396,23.936,23.965,27887400,0.0,0.0
2017-02-10,24.22,24.269,23.426,23.573,28578400,0.0,0.0
2017-02-13,23.593,23.72,23.348,23.426,16876400,0.0,0.0
